专业频道,#genre#
中国功夫,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/wh7f454c46tw1755251107_-1720510105/ott.mobaibox.com/PLTV/3/224/3221227530/index.m3u8?icpid=3&RTS=1674386165&from=40&popid=40&hms_devid=2113&prioritypopid=40&vqe=3
军旅剧场,http://[2409:8087:2001:20:2800:0:df6e:eb06]:80/wh7f454c46tw1755552897_-1767851709/ott.mobaibox.com/PLTV/3/224/3221227603/index.m3u8?icpid=3&RTS=1674386165&from=40&popid=40&hms_devid=2036&prioritypopid=40&vqe=3
动作电影,http://[2409:8087:2001:20:2800:0:df6e:eb06]:80/wh7f454c46tw1555700033_-766721196/ott.mobaibox.com/PLTV/3/224/3221227606/index.m3u8?icpid=3&RTS=1674385966&from=40&popid=40&hms_devid=2036&prioritypopid=40&vqe=3
家庭剧场,http://[2409:8087:2001:20:2800:0:df6e:eb06]:80/wh7f454c46tw1555906766_991991415/ott.mobaibox.com/PLTV/3/224/3221227600/index.m3u8?icpid=3&RTS=1674385966&from=40&popid=40&hms_devid=2036&prioritypopid=40&vqe=3
精品大剧,http://[2409:8087:2001:20:2800:0:df6e:eb1b]:80/wh7f454c46tw1755993626_-1194432913/ott.mobaibox.com/PLTV/3/224/3221227618/index.m3u8?icpid=3&RTS=1674386166&from=40&popid=40&hms_devid=2116&prioritypopid=40&vqe=3
足球频道,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225895/index.m3u8
百姓生活,http://[2409:8087:2001:20:2800:0:df6e:eb25]/ott.mobaibox.com/PLTV/4/224/3221228466/index.m3u8
天天围棋,http://[2409:8087:2001:20:2800:0:df6e:eb24]/ott.mobaibox.com/PLTV/4/224/3221228513/index.m3u8
金砖电视,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
直播中国,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8
南阳市区,https://cdn-hls-pull-tx.hntv.tv/saas_live/41eadedced464dc7b74fd6dbaa5dd4b8_transios/playlist.m3u8
郑东新区,https://gcalic.v.myalicdn.com/gc/zdxq01_1/index.m3u8
西安钟楼,https://gctxyc.liveplay.myqcloud.com/gc/sxzl_1_md.m3u8
信阳茶村,https://gcalic.v.myalicdn.com/gc/xjtcdgs_1/index.m3u8
重庆李子坝,https://gctxyc.liveplay.myqcloud.com/gc/ylh04_1/index.m3u8
吉林临江门,https://gcalic.v.myalicdn.com/gc/zh03_1/index.m3u8
哈尔滨市区,https://gctxyc.liveplay.myqcloud.com/gc/hkts09_1/index.m3u8
方城德云山,https://gctxyc.liveplay.myqcloud.com/gc/ztd_1/index.m3u8
天门山栈道,https://gctxyc.liveplay.myqcloud.com/gc/fcw01_1/index.m3u8
敦煌月牙泉,http://gctxyc.liveplay.myqcloud.com/gc/dhyyqst_1/index.m3u8
建水古城墙,http://mobilelive-ds.ysp.cctv.cn/ysp/2012896301_fhd.m3u8
怀柔水长城,https://gctxyc.liveplay.myqcloud.com/gc/wgw01_1_md.m3u8
牡丹江镜泊湖,https://gcalic.v.myalicdn.com/gc/jyg04_1/index.m3u8

河南区县,#genre#
CCTV-13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV-13,http://111.13.111.242/000000001000PLTV/88888888/224/3221236187/1.m3u8?HlsProfileId=
CCTV-1,http://111.13.111.242/000000001000PLTV/88888888/224/3221248112/1.m3u8?HlsProfileId=
CCTV-4,http://111.13.111.242/000000001000PLTV/88888888/224/3221236202/1.m3u8?HlsProfileId=
南阳新闻,http://iptv.nastool.site:56789/localtv/河南云上南阳.php?id=nyxwzh
新野综合,http://tvpull.dxhmt.cn:9081/tv/11329-1.m3u8
唐河新闻,http://tvpull.dxhmt.cn:9081/tv/11328-1.m3u8
镇平综合,http://tvpull.dxhmt.cn:9081/tv/11324-1.m3u8
河南卫视,http://lxajh.top/tv/hn.php?id=hnws
河南乡村↾,http://lxajh.top/tv/hn.php?id=hnxc
河南新闻,http://lxajh.top/tv/hn.php?id=xwpd
河南公共,http://lxajh.top/tv/hn.php?id=ggpd
睛彩中原,http://lxajh.top/tv/hn.php?id=qczy
河南都市,http://lxajh.top/tv/hn.php?id=dspd
河南民生,http://lxajh.top/tv/hn.php?id=mspd
梨园频道↾,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380788ba7bed/index.m3u8?AuthInfo=toEYVdLfxymUP2l9NZpQI5%2BK6T7j%2FlRm%2BvbM9VO7bA0q1S1k1f36SqqriM0FZoFSAJRfCt8SS7X6sTRmXb81a8O4H%2FdroDKjLoDeaMQdyJQ
武术世界,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638078be5d654/index.m3u8?AuthInfo=toEYVdLfxymUP2l9NZpQI5%2BK6T7j%2FlRm%2BvbM9VO7bA0MVaBO3fffRWKM%2FzNpNYjRBAiSJylXYBAiox0V94ejMfwEtXXuH8b8M%2F%2FDznZB61s
文物宝库,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638078a346161/index.m3u8?AuthInfo=toEYVdLfxymUP2l9NZpQI5%2BK6T7j%2FlRm%2BvbM9VO7bA199v9hZiIrZ%2B5X675R6%2FGDjgcqn5UaJ6D814KM9%2FvF7QwvFfeEXMAK7LltfEC%2FKQQ
河南党教,https://12371wbndali.v.myalicdn.com/12371wbnd/dangyuanwang_2hd.m3u8
郑州教育,https://livezzutv.chinamcache.com/zb02/zb02.m3u8?auth_key=1694413413-0-0-fdccf5824fa42b4a2e285f73e7d2d12b
洛阳新闻,http://wshls.live.migucloud.com/live/YZ9BIHIZ_C0/playlist.m3u8
洛阳科教,http://wshls.live.migucloud.com/live/M12O4SV9_C0/playlist.m3u8
开封新闻,http://tvpull.dxhmt.cn:9081/tv/10200-2.m3u8
安阳新闻,https://zhpull.dxhmt.cn/anyang/7e3b40563af54e2f9f48e2c67c5d9fab/playlist.m3u8
安阳公共,https://zhpull.dxhmt.cn/anyang/d21bf91860c443caa34c4797d6b0026e/playlist.m3u8
焦作综合,http://zhpull.dxhmt.cn/jiaozuo/b75a92c9503e47cf9e89f7ff247b65f2/playlist.m3u8
焦作公共,http://zhpull.dxhmt.cn/jiaozuo/29b65b69130c4ef1a3283cc7b913da05/playlist.m3u8
信阳新闻,https://pili-live-hls.xyrm.tianma3600.com/xyrm/xyzhpd.m3u8
周口新闻,http://117.159.72.12:8081/live/2216261506805201716.m3u8
周口新闻,http://125.44.139.18:8081/live/2216261506805201716.m3u8
周口公共,http://117.159.72.12:8081/live/8606202505932165833.m3u8
周口公共,http://125.44.139.18:8081/live/8606202505932165833.m3u8
濮阳综合,http://49368.hlsplay.aodianyun.com/tv_radio_49368/tv_channel_2480.m3u8?auth_key=4830532265-0-0-a23211dae85304b5f753cb511162a9df&extra_key=gFYICxLJCkXAhKHUrQwyf70UKcXvPhkokqwaScfSlkOChsaKACKAg4XUD_O7ijxl88doNOCIS3-lTQ3MCBZBMcKBck6jniYpRdB2R1KCx9XrXtIwCw2vP02XvzQk6OpcJD7Ol8OFg4elmCljRLeMmI1lyK9V2xiLYz7P2V8ZM4PdrGcXybU9s2FkDsqYuRjp
驻马店综合,http://tvlive.zmdtvw.cn/live/106770611978226682/index.m3u8
济源综合,http://tvpull.dxhmt.cn:9081/tv/19001-1.m3u8
叶县一套,http://tvpull.dxhmt.cn:9081/tv/10422-1.m3u8
内黄综合,http://tvpull.dxhmt.cn:9081/tv/10527-1.m3u8
宜阳电视,http://tvpull.dxhmt.cn:9081/tv/10327-1.m3u8
郏县综合,http://tvpull.dxhmt.cn:9081/tv/10425-1.m3u8
襄城综合,http://tvpull.dxhmt.cn:9081/tv/11025-1.m3u8
孟州综合,http://tvpull.dxhmt.cn:9081/tv/10883-1.m3u8
卫辉综合,http://tvpull.dxhmt.cn:9081/tv/10781-1.m3u8

地方频道,#genre#
襄阳综合,http://iptv.nastool.site:56789/localtv/cjy.php?id=xyzh
丹江综合,http://iptv.nastool.site:56789/localtv/cjy.php?id=djkzh
恩施新闻,http://iptv.nastool.site:56789/localtv/cjy.php?id=eszh
十堰新闻↾,http://p8.vzan.com/slowlive/034028687228317362/live.m3u8
房县综合,http://play-hsbj.vzan.com/844270/495391109072307857/live.m3u8
谷城综合,http://gucheng-live21.cjyun.org/10116/s10116-GCTV1.m3u8?auth_key=1704038399-0-0-9b04df5d845d5e76347ce466fdcd2032
保康综合,http://bktvplay.gdnewmedia.cc:80/live/bkxwzh.m3u8
随州农村,http://34766.hlsplay.aodianyun.com/guangdianyun_34766/tv_channel_305.m3u8?auth_key=4834621829-0-0-49c63c7de26b595a9177e498db618f79&extra_key=xQtKveJFBYYdE5xPP5Qc5y3qlfhlj-BcHOcbWxez9NxCHHoFi0Lp44BN8aqi2_k9URCU-rsf8mQz8CYifgEaMzixzi63CT1KgCDexQ0cD5X0e0lUMZaQy0DMOXcFpW1Cf9zn7psgSNcUQiA2OGcxi7TXk-_FyDGcu767szWh8SQJ0Vr0uNRbiqE2jzk7ICiX
荆门新闻,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8
荆门科教,http://jingmen-live21.cjyun.org/10101/s10101-jmjytv.m3u8?auth_key=1704038399-0-0-07df8996b53392164dd8c9da2b3e1477
荆州新闻,http://jingzhou-live21.cjyun.org/10085/s10085-jingzhou-tv01.m3u8?auth_key=1704038399-0-0-9b2442b7b11f661edfe71bc7a3a3a5a2
荆州垄上,http://jingzhou-live21.cjyun.org/10085/s10085-jingzhou-tv03.m3u8?auth_key=1704038399-0-0-a0b56187fea04cf4f776c0b23cf5f547
宜昌综合,http://yichang-live21.cjyun.org/10091/10091-yczh.m3u8?auth_key=1704038399-0-0-0b21c5812e39831d93356c4ef41be227
湖北综合,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638072216f7da/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUUAdKgLqNB5aOAUhcp5CeNLx3R3LdIBdA5q61lut1LwZcw4SC2tJubc%2Bq5t%2F61jvWCtjrJL0x%2BHncPgdmcbBW9I
湖北垄上,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638072463c333/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUUAdKgLqNB5aOAUhcp5CeNL%2Be1h4FfA5QqwJ7IPOz3p2qIS7djSxm17Htd%2FckZkm%2FVqsKHEJFJt26ju9iibzMEo
武汉新闻,http://stream.appwuhan.com/1tzb/sd/live.m3u8
武汉教育,http://stream.appwuhan.com/jyzb/sd/live.m3u8
武汉生活,http://stream.appwuhan.com/3tzb/sd/live.m3u8
利川综合,https://lichuan-live21.cjyun.org/10093/s10093-lczh.m3u8?auth_key=1704038399-0-0-6925f04d8efe10283376f4632ccbc454
当阳综合,http://dangyang-live21.cjyun.org/10118/s10118-DYZH.m3u8?auth_key=1704038399-0-0-d94526965480b96a43608d6ddad3c9a8
沙洋综合,http://shayang-live21.cjyun.org/10110/s10110-sytv1.m3u8?auth_key=1704038399-0-0-b07aa5a0a6f1c83a3c61bb86c94a8fee
鹤峰综合,http://hefeng-live21.cjyun.org/10100/s10100-hftv1.m3u8?auth_key=1704038399-0-0-73faaff5056f4c2f3eaa37886ba5a32d
宜都综合,http://yidushi-live21.cjyun.org/yidushi/s10092-yidushitv01.m3u8?auth_key=1704038399-0-0-f4d74ed0ac9ceda3f3bc9578111a235b
建始综合,http://jianshi-live21.cjyun.org/10094/s10094-jstv1.m3u8?auth_key=1704038399-0-0-5775a2007fb7a65ed35e3ef8ca028dd1
长阳综合,http://changyang-live21.cjyun.org/10114/s10114-cy1t.m3u8?auth_key=1704038399-0-0-1fcaab230981d2c4f214defbef335ed5
江陵综合,http://jiangling-live21.cjyun.org/10090/s10090-jltv01.m3u8?auth_key=1704038399-0-0-bf99cff97b68e2bec58f626f876f75f3
西安新闻,http://xatv-yuandian.xiancity.cn/live/1/index.m3u8
延安综合,http://live.cloud.yanews.cn/video/s10001-YATV-1/index.m3u8
延安综合,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226374/index.m3u8
延安公共,http://live.cloud.yanews.cn/video/s10001-YATV-2/index.m3u8
延安公共,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226375/index.m3u8
安康综合,http://[2409:8087:7000:20::4]/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226385/index.m3u8
安康综合,https://hls-sxak.sobeylive.com/xjhsyapp2019/zhpdhd.m3u8
安康教育,http://hls-sxak.sobeylive.com/xjhsyapp2019/jypdhd.m3u8
榆林综合,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226377/index.m3u8
宝鸡综合,http://[2409:8087:7000:20::4]/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226383/index.m3u8
宝鸡公共,http://[2409:8087:7000:20::4]/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226384/index.m3u8
汉中公共,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221225990/index.m3u8
汉中教育,http://[2409:8087:7000:20::4]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225991/index.m3u8
渭南公共,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221227001/index.m3u8
渭南公共,http://stream1.hshan.com/hspd/playlist.m3u8
咸阳综合,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226372/1.m3u8
紫阳综合,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221227002/index.m3u8
镇坪综合,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221227032/index.m3u8
千阳电视,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226945/index.m3u8
神木一套,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226993/index.m3u8
志丹综合,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226989/index.m3u8
吴起电视,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226967/index.m3u8
黄陵综合,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226992/index.m3u8
岐山综合,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226982/index.m3u8
府谷综合,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226990/index.m3u8
商洛综合,http://[2409:8087:7000:20::4]/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226378/index.m3u8
商洛公共,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221227006/index.m3u8
岚皋电视,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221227057/index.m3u8
榆阳新闻,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221227017/index.m3u8
佛坪综合,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226454/index.m3u8
宁陕电视,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226998/index.m3u8
重庆卫视↾,https://sjlivecdn9.cbg.cn/209907041235/app_2/_definst_/ls_2.stream/chunklist.m3u8
重庆新闻,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000367#https://sjlivecdn9.cbg.cn/209906282314/app_2/_definst_/ls_3.stream/chunklist.m3u8
重庆移动↾,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000384#https://qxlmlive9.cbg.cn/app_2/ls_57.stream/chunklist.m3u8#https://qxlmlive9.cbg.cn/app_2/ls_58.stream/playlist.m3u8
重庆影视,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000372#http://117.59.80.3/__cl/cg:live/__c/cqyingshiHD/__op/default/__f/index.m3u8
重庆科教,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000373
重庆农村,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000376
重庆文娱↾,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000370
重庆少儿↾,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000374
重庆时尚↾,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000369
重庆社会↾,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000375
重庆汽摩↾,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000371
巴南综合,http://live.cqbntv.com/bnmc/bn14B.m3u8
万盛综合,https://qxlmlive9.cbg.cn/applive/wslive01/playlist.m3u8
梁平综合,https://qxlmlive9.cbg.cn/applive/lplive01/chunklist.m3u8
开州综合,https://qxlmlive9.cbg.cn/applive/kzpd01/chunklist.m3u8
永川综合,https://qxlmlive9.cbg.cn/applive/yctv01/playlist.m3u8
璧山综合,http://222.179.42.129:8181/hls1.m3u8
垫江综合,http://125.62.24.185:80/1.m3u8
酉阳综合,http://qxlmlive9.cbg.cn/applive/youytv01/playlist.m3u8
涪陵综合,http://183.64.215.48:1002/1.m3u8
大足综合,http://218.201.85.71:3170/m3u8
巫山综合,https://qxlmlive9.cbg.cn/applive/wspd001/chunklist.m3u8
万州综合,http://wanzhoulive.cbg.cn:8017/iTXwrGs/800/live.m3u8
武隆综合,https://qxlmlive9.cbg.cn/applive/wltvzh/playlist.m3u8
江津综合,http://222.179.155.21:1935/ch1.m3u8
荣昌综合,http://183.64.181.25:40023/rongchang01.m3u8
潼南综合,http://183.230.184.51:65500/tntv1.m3u8
忠县综合,https://qxlmlive9.cbg.cn/applive/zxtv2/chunklist.m3u8
北碚综合,http://222.178.181.121:12034/beibei01.m3u8
眉山综合,https://live2.scmstv.cn/gqpd/sd/live.m3u8
眉山乡村,https://live2.scmstv.cn/ggpd/sd/live.m3u8
内江综合,https://njzb.scnj.tv/hls_njtv_direct/1.m3u8
泸县综合,http://lxfile.lxxcb.cn/nmip-media/channellive/channel103799/playlist.m3u8
彭山综合,http://m3u8tv.psrm.net/nmip-media/channellive/channel100740/playlist.m3u8
江安综合,http://p8.vzan.com/slowlive/917080675626502322/live.m3u8
达州新闻,http://tv.drs.dzxw.net/channellive/xwzhpd-dz1.flv
绵阳综合,http://dcpull.sctvcloud.com/live/561946fe018810006da7ce2500000000/playlist.m3u8
绵阳科教,http://dcpull.sctvcloud.com/live/561b1c7301881000f40c8eec00000000/playlist.m3u8
乐山新闻,http://channellive.leshantv.net/live/ch1.flv
泸州新闻,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel106011/playlist.m3u8
广元综合,https://m3u8.channel.dzsm.com/nmip-media/channellive/channel100999/playlist.m3u8
广安文旅,http://live1.gatv.com.cn:85/live/GGPD_ggpdzm.m3u8
利州综合,http://tvfile.lzgbdst.com/nmip-media/channellive/channel106876/playlist.m3u8
汶川新闻,http://live.iwcmt.cn:90/live/zhxw.m3u8
万源综合,http://live.wanyuannews.com/wytv/hd/live.m3u8
营山电视,http://tv.drs.ysxtv.cn:8100/channellive/ystv-bak.flv
大竹新闻,http://60.255.120.30:89/live1/live1.m3u8
汉源综合,http://live.hyxrmt.com:85/live/xwpd.m3u8
龙江新闻,http://[2409:8087:1a01:df::4035]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226330/1.m3u8
龙江影视,http://[2409:8087:1a01:df::4035]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226298/1.m3u8
龙江农业,http://[2409:8087:1a01:df::4025]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226242/1.m3u8
齐齐哈尔1,http://[2409:8087:1a01:df::4027]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226413/1.m3u8
齐齐哈尔1,https://pili-live-hls-kanqi.tianma3600.com/kanqi/vdo1xinwenpd.m3u8
佳木斯新闻,http://[2409:8087:1a01:df::4030]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226451/1.m3u8
双鸭山新闻,http://[2409:8087:1a01:df::4048]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226502/1.m3u8
牡丹江新闻,http://[2409:8087:1a01:df::4059]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226422/1.m3u8
大庆新闻,http://[2409:8087:1a01:df::4047]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226484/1.m3u8
鹤岗新闻,http://[2409:8087:1a01:df::4060]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226496/1.m3u8
鸡西新闻,http://[2409:8087:1a01:df::4047]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226410/1.m3u8
伊春新闻,http://[2409:8087:1a01:df::4041]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226416/1.m3u8
延边一套,http://live.ybtvyun.com/video/s10016-af95004b6d1a/index.m3u8?zjild
延边二套,http://live.ybtvyun.com/video/s10006-04819ee234a7/index.m3u8?zjild
丹东新闻,http://mmitv.top/test/tianma.php?id=ddzh
滁州新闻,http://live.cztv.cc:85/live/xwpd.m3u8
滁州公共,http://live.cztv.cc:85/live/ggpd.m3u8
池州新闻,http://cm.wshls.homecdn.com/live/829f.m3u8
岳西综合,http://wyflv.ahwanyun.cn/live/b62955a9283f4c2ea8ccb96e8ac468bc.flv
固镇综合,http://www.guzhenm.com:7001/hls/hd-live.m3u8
淮南新闻,http://stream.0554news.com/hnds1/sd/live.m3u8
淮北新闻,http://xcblive.hbcoal.com/3/playlist.m3u8
齐鲁频道,rtmp://livealone.iqilu.com/iqilu/qlpdhjOF03kn
济铁频道,http://alivealone.litenews.cn/303/8876f9ea0ce6400d9b1e54a129ff1c0c.flv
临沂综合,https://m3u8-channel.lytv.tv/nmip-media/channellive/channel111841/playlist.m3u8
曹县综合,http://alivealone.litenews.cn/87/17899f8e9ec8476991285406f464ed29.flv
青岛城阳,http://pili-live-rtmp.56.i2863.com/i2863-56/live_56_307317.m3u8
济宁综合,http://lives.jnnews.tv/video/s10001-JNTV-1/index.m3u8
房山无线,http://live.funhillrm.com/2/sd/live.m3u8
房山电视,http://live.funhillrm.com/5/sd/live.m3u8
顺义综合,https://livebjsy.chinamcache.com/live/zb02.flv
嘉定电视,https://pili-live-hls.wdit.com.cn/wditlive/15472c98517744b994e85c9c60cc93cf6a3b.m3u8
崇明电视,https://pili-live-hls.wdit.com.cn/wditlive/c038f4fafbdf4f97ba74c74ad67259b931ee.m3u8
滨海新闻,http://traffic.jbh.tjbh.com/live/bhtv1/playlist.m3u8
石家庄新闻,http://pluslive1.sjzntv.cn/xmzh/playlist.m3u8
邯郸综合,http://live.hd.hdbs.cn/video/s10001-2021hdxwzh/index.m3u8
邢台综合,https://jwplay.hebyun.com.cn/live/xtsrmtzs/1500k/tzwj_video.m3u8
昌黎综合,http://jwliveqxzb.hebyun.com.cn/clzhpd/clzhpd.flv
清河新闻,https://jwliveqxzb.hebyun.com.cn/qinghe/qinghe.m3u8
山西影视,http://liveflash.sxrtv.com/live/sxfilm.m3u8?sub_m3u8=true&edge_slice=true
山西黄河,http://liveflash.sxrtv.com/live/huanghe.m3u8?sub_m3u8=true&edge_slice=true
平泉综合,https://jwliveqxzb.hebyun.com.cn/pqzh/pqzh.m3u8
运城新闻,http://live.0359tv.com/lsdream/ss4Lj11/1000/live.m3u8
运城公共,http://live.0359tv.com/lsdream/t667aTY/1000/live.m3u8
盐湖频道,http://live.0359tv.com/lsdream/p5eq48m/1000/live.m3u8
